北京：八达岭长城 北海公园 南锣鼓巷 圆明园 天坛公园 天安门广场 恭王府 故宫博物院 景山公园 颐和园 北京大学 清华大学 鸟巢 水立方 什刹海 王府井 奥林匹克公园 雍和宫 明十三陵 798艺术区 三里屯 国贸 前门大街 环球影城 军事博物馆 国家博物馆 人民大会堂 地坛公园 鼓楼 北京动物园
上海：上海博物馆 上海迪士尼 东方明珠 南京路步行街 召楼古镇 外滩 武康路 田子坊 豫园 静安寺 城隍庙 新天地 上海中心大厦 1933老场坊 复旦大学
西安：兵马俑 华清宫 回民街 大唐芙蓉园 大雁塔 西安城墙 大唐不夜城 钟楼 鼓楼 陕西历史博物馆 小雁塔 碑林博物馆 西安交通大学
成都：宽窄巷子 春熙路 熊猫基地 锦里古街 武侯祠 杜甫草堂 青城山 都江堰 文殊院 人民公园 九眼桥 四川大学 太古里
杭州：西湖 灵隐寺 雷峰塔 千岛湖 宋城 西溪湿地 河坊街 断桥残雪 苏堤春晓 三潭印月 浙江大学 龙井村 钱塘江
重庆：洪崖洞 磁器口 解放碑 长江索道 武隆天坑 朝天门 李子坝轻轨 鹅岭二厂 南山一棵树 三峡博物馆 白公馆 渣滓洞 重庆大学
青岛：栈桥 八大关 崂山 五四广场 青岛啤酒博物馆 金沙滩 小鱼山 信号山公园 天主教堂 奥帆中心 德国总督府 中国海洋大学 劈柴院
广州：广州塔 沙面 陈家祠 珠江夜游 白云山 越秀公园 北京路步行街 上下九步行街 长隆欢乐世界 中山纪念堂 石室圣心大教堂 中山大学 华南理工大学
苏州：拙政园 虎丘 留园 狮子林 苏州博物馆 平江路 周庄古镇 同里古镇 金鸡湖 寒山寺 山塘街 苏州大学 观前街
厦门：鼓浪屿 厦门大学 南普陀寺 曾厝垵 环岛路 中山路步行街 胡里山炮台 集美学村 园林植物园 白城沙滩 沙坡尾 厦门科技馆 五缘湾
南京：中山陵 夫子庙 秦淮河 明孝陵 总统府 南京博物院 玄武湖 鸡鸣寺 侵华日军南京大屠杀遇难同胞纪念馆 老门东 新街口 南京大学 东南大学
武汉：黄鹤楼 东湖 户部巷 武汉大学 湖北省博物馆 江汉路步行街 古琴台 晴川阁 昙华林 汉口江滩 武汉长江大桥 归元寺 光谷步行街
长沙：岳麓山 橘子洲 湖南省博物馆 太平街 天心阁 世界之窗 烈士公园 黄兴路步行街 坡子街 爱晚亭 湖南大学 中南大学 超级文和友
深圳：世界之窗 欢乐谷 东部华侨城 大梅沙 小梅沙 深圳湾公园 莲花山公园 梧桐山 中英街 大鹏所城 较场尾 深圳大学 华强北
丽江：丽江古城 玉龙雪山 束河古镇 拉市海 虎跳峡 木府 黑龙潭公园 狮子山 白沙古镇 泸沽湖 蓝月谷 玉水寨 东巴谷
三亚：亚龙湾 天涯海角 南山寺 蜈支洲岛 大东海 鹿回头 三亚湾 呀诺达雨林 槟榔谷 大小洞天 西岛 亚特兰蒂斯水世界 千古情
桂林：漓江 象鼻山 阳朔西街 龙脊梯田 两江四湖 银子岩 世外桃源 十里画廊 遇龙河 兴坪古镇 芦笛岩 桂林理工大学 东西巷
张家界：张家界国家森林公园 天门山 黄龙洞 宝峰湖 大峡谷玻璃桥 袁家界 杨家界 天子山 十里画廊 金鞭溪 黄石寨 百龙天梯 老屋场
黄山：黄山风景区 宏村 西递 屯溪老街 翡翠谷 呈坎 唐模 潜口民宅 棠樾牌坊群 徽州古城 齐云山 新安江山水画廊 黄山温泉
九寨沟：九寨沟 五花海 诺日朗瀑布 长海 熊猫海 镜海 树正群海 珍珠滩瀑布 芦苇海 火花海 箭竹海 原始森林 则查洼沟
大理：大理古城 洱海 苍山 崇圣寺三塔 双廊古镇 喜洲古镇 蝴蝶泉 天龙八部影视城 南诏风情岛 小普陀 挖色镇 大理大学 才村码头
